,Country_Region,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,country,iso_alpha
0,Afghanistan,1.0,33.93911,67.709953,273,6,10,257,Afghanistan,AFG
1,Albania,1.0,41.1533,20.1683,277,16,76,185,Albania,ALB
2,Algeria,1.0,28.0339,1.6596,986,86,61,839,Algeria,DZA
3,Angola,1.0,-11.2027,17.8739,8,2,1,5,Angola,AGO
4,Argentina,1.0,-38.4161,-63.6167,1133,36,256,841,Argentina,ARG
5,Australia,1.0,-256.85020000000003,1130.8438999999998,5116,24,520,4572,Australia,AUS
6,Austria,1.0,47.5162,14.5501,11129,158,1749,9222,Austria,AUT
7,Bahrain,1.0,26.0275,50.55,643,4,381,258,Bahrain,BHR
8,Bangladesh,1.0,23.685,90.3563,56,6,25,25,Bangladesh,BGD
9,Belgium,1.0,50.8333,4.469936,15348,1011,2495,11842,Belgium,BEL
10,Benin,1.0,9.3077,2.3158,13,1,1,12,Benin,BEN
11,Bolivia,1.0,-16.2902,-63.5887,123,8,1,114,Bolivia,BOL
12,Bosnia and Herzegovina,1.0,43.9159,17.6791,533,16,20,497,Bosnia and Herzegovina,BIH
13,Botswana,1.0,-22.3285,24.6849,4,1,1,3,Botswana,BWA
14,Brazil,1.0,-14.235,-51.9253,8044,324,127,7593,Brazil,BRA
15,Bulgaria,1.0,42.7339,25.4858,457,10,25,422,Bulgaria,BGR
16,Burkina Faso,1.0,12.2383,-1.5616,288,16,50,222,Burkina Faso,BFA
17,Burundi,1.0,-3.3731,29.9189,3,1,1,3,Burundi,BDI
18,Cambodia,1.0,11.55,104.9167,110,1,34,76,Cambodia,KHM
19,Cameroon,1.0,3.848,11.5021,306,7,10,289,Cameroon,CMR
20,Canada,1.0,638.5557999999999,-1119.4903,11284,139,1735,1,Canada,CAN
21,Central African Republic,1.0,6.6111,20.9394,3,1,1,3,Central African Republic,CAF
22,Chad,1.0,15.4542,18.7322,8,1,1,8,Chad,TCD
